id,codigo_actividad,comment,created_at,invoice_type,paid_amount,price_with_tax,price_without_tax,receiver_email,receiver_nombre,receiver_tax_payer_id,status,tax,updated_at,version,condicion_venta_id,currency_id,medio_pago_id,profile_id,receiver_profile_id,medio_pago_details
1555,,,2024-11-13 10:35:17.222502,FACTURA,0.00,0.00,0.00,ash@gmail.com,testt,,IN_PROGRESS,0.00,,0,,149,,56,,
1556,,,2024-11-13 10:35:57.519499,FACTURA,1.00,0.00,0.00,ash@gmail.com,testt,,IN_PROGRESS,0.00,2024-11-19 14:20:09.663428,1,,149,,56,,
1557,,,2024-11-13 10:39:15.020429,FACTURA,0.00,0.00,0.00,ash@gmail.com,testt,,IN_PROGRESS,0.00,,0,,149,,56,,
1558,,,2024-11-13 10:40:02.299591,FACTURA,0.00,0.00,0.00,ash@gmail.com,testt,,IN_PROGRESS,0.00,,0,,149,,56,,
1559,452002,,2024-11-13 10:42:26.912514,FACTURA,0.00,0.00,0.00,ash@gmail.com,testt,,IN_PROGRESS,0.00,2024-11-13 18:10:23.194870,1,,149,,56,,
1560,452002,,2024-11-13 10:43:31.166527,FACTURA,0.00,0.00,0.00,ash@gmail.com,testt,,IN_PROGRESS,0.00,2024-11-13 18:12:41.086727,1,,149,,56,,
1561,,,2024-11-13 10:45:47.849440,FACTURA,0.00,0.00,0.00,ash@gmail.com,testt,,IN_PROGRESS,0.00,,0,,149,,56,,
1562,,,2024-11-13 10:50:15.250383,FACTURA,0.00,0.00,0.00,test@gmai.co,test,,IN_PROGRESS,0.00,,0,,37,,56,3353,
1563,,,2024-11-13 10:55:32.255946,FACTURA,0.00,0.00,0.00,ashirzuhaib2@gmail.com,NIMBU LAND HOLDING LIMITADA,,IN_PROGRESS,0.00,,0,,37,,58,56,
1564,,,2024-11-13 10:57:54.128358,FACTURA,0.00,0.00,0.00,ashirzuhaib2@gmail.com,NIMBU LAND HOLDING LIMITADA,,IN_PROGRESS,0.00,,0,,37,,58,56,
1565,,,2024-11-13 11:11:12.713543,FACTURA,0.00,0.00,0.00,ashirzuhaib2@gmail.com,NIMBU LAND HOLDING LIMITADA,,IN_PROGRESS,0.00,,0,,37,,58,56,
1566,,,2024-11-13 11:12:55.761492,FACTURA,0.00,0.00,0.00,ash@gmail.com,testt,,IN_PROGRESS,0.00,,0,,149,,56,,
1567,,,2024-11-13 12:29:11.212120,FACTURA,0.00,0.00,0.00,test@gmai.co,test,,IN_PROGRESS,0.00,,0,,37,,56,3353,
1568,,,2024-11-13 12:30:51.908035,FACTURA,0.00,0.00,0.00,test@gmai.co,test,,IN_PROGRESS,0.00,,0,,37,,56,3353,
1569,,,2024-11-13 12:31:00.590683,FACTURA,0.00,0.00,0.00,test@gmai.co,test,,IN_PROGRESS,0.00,,0,,37,,56,3353,
1602,,,2024-11-13 13:29:02.676590,FACTURA,0.00,0.00,0.00,test@test.com,name,,IN_PROGRESS,0.00,,0,,37,,103,,
1603,,,2024-11-13 13:39:11.536060,FACTURA,0.00,0.00,0.00,aaamin@email.com,Abdullah,,IN_PROGRESS,0.00,,0,,37,,103,603,
1604,,,2024-11-13 14:02:59.682159,FACTURA,0.00,0.00,0.00,godadsamuelat2008@gmail.com,testt,,IN_PROGRESS,0.00,,0,,149,,303,303,
1605,,,2024-11-13 14:09:11.355123,FACTURA,0.00,0.00,0.00,ash@gmail.com,testt,,IN_PROGRESS,0.00,,0,,149,,56,,
1606,452002,,2024-11-13 14:44:16.705356,FACTURA,0.00,2956.99,2899.01,godadsamuelat2008@gmail.com,NIMBU LAND HOLDING LIMITADA,3102823232,IN_PROGRESS,57.98,,0,2,149,2,303,303,
1652,,,2024-11-15 09:47:14.707182,FACTURA,0.00,102.00,100.00,ashirzuhaib2@gmail.com,NIMBU LAND HOLDING LIMITADA,,IN_PROGRESS,2.00,,0,,37,,58,56,
1653,,,2024-11-15 09:47:25.549302,FACTURA,0.00,102.00,100.00,ashirzuhaib2@gmail.com,NIMBU LAND HOLDING LIMITADA,,IN_PROGRESS,2.00,,0,,37,,58,56,
1702,,,2024-11-18 11:28:57.524223,FACTURA,0.00,102.00,100.00,ashirzuhaib2@gmail.com,NIMBU LAND HOLDING LIMITADA,,IN_PROGRESS,2.00,,0,,37,,58,56,
1752,960113,test,2024-11-18 16:13:44.813753,FACTURA,0.00,1050.00,1050.00,test@gmai.co,test,,IN_PROGRESS,0.00,2024-11-18 17:50:38.805014,1,,37,,56,3353,test
1802,,,2024-11-18 17:13:16.614365,FACTURA,0.00,102.00,100.00,ashirzuhaib2@gmail.com,NIMBU LAND HOLDING LIMITADA,,IN_PROGRESS,2.00,,0,,37,,58,56,
1803,,,2024-11-18 19:12:14.929068,FACTURA,0.00,1019996.94,999997.00,test@gmai.co,test,,IN_PROGRESS,19999.94,,0,,37,,56,3353,
1804,,,2024-11-18 19:12:31.053549,FACTURA,0.00,1019996.94,999997.00,test@gmai.co,test,,IN_PROGRESS,19999.94,,0,,37,,56,3353,
1805,,,2024-11-18 19:12:32.038674,FACTURA,0.00,1050.00,1050.00,test@gmai.co,test,,IN_PROGRESS,0.00,,0,,37,,56,3353,
1806,,,2024-11-18 19:12:33.040933,FACTURA,0.00,102.00,100.00,ashirzuhaib2@gmail.com,NIMBU LAND HOLDING LIMITADA,,IN_PROGRESS,2.00,,0,,37,,58,56,
1807,,,2024-11-19 11:58:18.269633,FACTURA,0.00,102.00,100.00,ashirzuhaib2@gmail.com,NIMBU LAND HOLDING LIMITADA,,IN_PROGRESS,2.00,,0,,37,,58,56,
1852,,,2024-11-20 00:52:42.035632,FACTURA,0.00,5306.96,5202.90,tayyaba.dev03@gmail.com,TAYYABA RANI,,IN_PROGRESS,104.06,,0,,37,,207,1353,
1902,523406,,2024-11-27 14:12:15.788378,FACTURA,0.00,0.23,0.20,facturas@nimbuland.cr,NIMBU LAND HOLDING LIMITADA,3102823232,IN_PROGRESS,0.03,,0,6,37,2,307,2103,
