id,codigo_actividad,comment,created_at,invoice_type,paid_amount,price_with_tax,price_without_tax,receiver_email,receiver_nombre,receiver_tax_payer_id,status,tax,updated_at,version,condicion_venta_id,currency_id,medio_pago_id,profile_id,receiver_profile_id,medio_pago_details
352,,,2024-08-16 07:10:15.613,FACTURA,0.0,0.0,0.0,ash@gmail.com,testt,,IN_PROGRESS,0.0,,0,,149,,56,,
402,,,2024-08-19 04:41:01.131,FACTURA,0.0,0.0,0.0,ash@gmail.com,testt,,IN_PROGRESS,0.0,,0,,149,,56,,
452,,,2024-08-19 08:20:48.583,FACTURA,0.0,0.0,0.0,ash@gmail.com,testt,,IN_PROGRESS,0.0,,0,,149,,56,,
453,,,2024-08-19 08:39:45.787,TICKET,0.0,0.0,0.0,yoni@gmail.com,testt,,IN_PROGRESS,0.0,,0,,149,,305,,
454,,,2024-08-19 08:39:47.316,FACTURA,0.0,0.0,0.0,yoni@gmail.com,testt,,IN_PROGRESS,0.0,,0,,149,,305,,
455,,,2024-08-19 08:51:39.129,FACTURA,0.0,0.0,0.0,yoni@gmail.com,testt,,IN_PROGRESS,0.0,,0,,149,,305,,
502,722003.0,no comment test hhhouse,2024-08-21 09:26:18.529,FACTURA,5.0,10100.0,10000.0,Tom@j-Class.com,Tom Test,,IN_PROGRESS,100.0,2024-12-17 08:10:39.760,61,3.0,37,2.0,307,,new detail payee crossed
503,120001.0,,2024-08-21 11:29:35.549,FACTURA,200.0,200.0,200.0,dimarijnr@gmail.com,PAMI PAMI CR LIMITADA,3102823257.0,IN_PROGRESS,0.0,2024-08-21 11:32:44.998,8,2.0,37,3.0,58,4.0,
552,,,2024-08-22 13:13:57.324,FACTURA,31.0,132.36,131.0,ash@gmail.com,testt,,IN_PROGRESS,1.36,2024-11-13 12:09:49.100,21,,149,,56,,
553,,,2024-08-22 13:14:14.624,FACTURA,0.0,0.0,0.0,ash@gmail.com,testt,,IN_PROGRESS,0.0,,0,,149,,56,,
554,101001.0,,2024-08-22 13:18:29.675,FACTURA,0.0,3.0,3.0,ash@gmail.com,testt,1111123456.0,IN_PROGRESS,0.0,,0,2.0,37,3.0,56,,
602,,,2024-08-23 09:41:04.882,FACTURA,0.0,0.0,0.0,dimarijnr@gmail.com,Yusuf Dimari,,IN_PROGRESS,0.0,,0,,37,,58,4.0,
603,722003.0,,2024-08-26 11:30:45.913,FACTURA,4.0,20456.02,20055.0,tom@pamipami.cr,PAMI PAMI CR LIMITADA,3102823257.0,IN_PROGRESS,401.02,2024-12-10 07:09:26.837,32,3.0,37,2.0,307,307.0,
652,314001.0,test internal comment,2024-08-30 12:35:52.116,FACTURA,0.0,113.0,100.0,dimarijnr@gmail.com,PAMI PAMI CR LIMITADA,3102823257.0,IN_PROGRESS,13.0,,0,1.0,37,4.0,58,4.0,
702,,,2024-08-31 19:58:25.966,FACTURA,0.0,0.0,0.0,ebrahimhayat241@gmail.com,name,,IN_PROGRESS,0.0,,0,,37,,255,255.0,
703,452002.0,,2024-09-02 09:11:17.265,FACTURA,2767.0,132899.17,117629.0,sefineh@gmail.com,testt,1111123456.0,IN_PROGRESS,15270.17,2024-12-04 08:20:45.826,405,5.0,37,2.0,208,204.0,Payment details
802,111001.0,,2024-09-12 09:57:44.607,FACTURA,0.0,102.0,100.0,yassine@j-class.com,TEST,,IN_PROGRESS,2.0,,0,3.0,37,3.0,58,205.0,asd
803,120001.0,,2024-09-12 10:02:57.787,FACTURA,0.0,102.0,100.0,yassine@j-class.com,TEST,,IN_PROGRESS,2.0,,0,2.0,37,3.0,58,205.0,asd
804,120001.0,,2024-09-12 11:10:43.509,FACTURA,0.0,908.82,891.0,name2@email.com,NAME2,,IN_PROGRESS,17.82,2024-11-01 10:35:30.914,2,2.0,37,3.0,58,,test
852,960113.0,test,2024-09-13 13:50:30.433,FACTURA,10.0,83.7,77.0,test@test.com,name,3333333333.0,IN_PROGRESS,6.7,2024-11-18 18:02:53.882,39,4.0,37,4.0,56,,res
853,101001.0,,2024-09-15 05:31:28.830,FACTURA,0.0,10.09,9.99,amine2005fcb@gmail.com,testt,1111123456.0,IN_PROGRESS,0.1,2024-09-15 05:34:38.080,2,1.0,149,1.0,805,953.0,Manual
858,152001.0,,2024-09-15 09:02:57.595,FACTURA,0.0,218.4,210.0,test@email.com,testt,1111123456.0,IN_PROGRESS,8.4,,0,3.0,37,3.0,356,653.0,cash
902,120001.0,,2024-09-16 10:52:26.268,FACTURA,0.0,48.59,43.0,aaamin2@email.com,ABDULLAH,,IN_PROGRESS,5.59,,0,6.0,37,3.0,552,,asd
903,911102.0,,2024-09-17 07:49:35.298,FACTURA,0.0,218.4,210.0,newtest@email.com,ABDULLAH,,IN_PROGRESS,8.4,,0,2.0,37,2.0,356,,cash
904,911102.0,,2024-09-17 09:16:45.062,FACTURA,0.0,218.4,210.0,test@email.com,test,2222222222.0,IN_PROGRESS,8.4,,0,2.0,37,2.0,356,653.0,details
952,101001.0,,2024-09-20 11:06:18.988,FACTURA,0.0,2.02,2.0,test@gmail.com,Test name,,IN_PROGRESS,0.02,,0,1.0,37,1.0,805,,test
953,,,2024-09-22 14:52:49.071,FACTURA,0.0,0.0,0.0,ebrahimhayat241@gmail.com,name,,IN_PROGRESS,0.0,,0,,37,,255,255.0,
954,142901.0,tax,2024-09-22 15:00:19.551,FACTURA,0.0,23.46,23.0,aklileyilma@gmail.com,AKLILE,,IN_PROGRESS,0.46,,0,5.0,37,4.0,255,254.0,tax
1002,111001.0,asd,2024-09-30 14:05:29.744,FACTURA,0.0,102.0,100.0,factura@pamifactura.com,PAMI PAMI CR LIMITADA,3102823257.0,IN_PROGRESS,2.0,,0,3.0,37,2.0,58,,asd
1052,960113.0,test,2024-10-03 10:50:49.297,FACTURA,0.0,1.02,1.0,aashir2027270@gmail.com,Ashir Client,3333333333.0,IN_PROGRESS,0.02,,0,3.0,37,2.0,58,104.0,test
1053,960113.0,,2024-10-03 10:52:24.476,FACTURA,0.0,102.0,100.0,factura@nimbuland.com,semir,,IN_PROGRESS,2.0,,0,7.0,37,3.0,58,,tes
1054,960113.0,,2024-10-03 12:00:27.350,FACTURA,0.0,10.2,10.0,factura@nimbuland.com,semir,,IN_PROGRESS,0.2,,0,3.0,37,4.0,58,1502.0,
1102,452002.0,,2024-10-04 10:28:43.229,FACTURA,0.0,167.46,153.0,ashirzuhaib2@gmail.com,NIMBU LAND HOLDING LIMITADA,3102823232.0,IN_PROGRESS,14.46,2024-11-29 10:56:03.577,3,1.0,37,1.0,58,56.0,
1252,,,2024-10-11 09:13:12.619,FACTURA,0.0,0.0,0.0,aashir2027270@gmail.com,Ashir Client,,IN_PROGRESS,0.0,,0,,37,,58,104.0,
1352,452002.0,test,2024-10-18 08:49:52.168,FACTURA,0.0,1245.33,1222.0,hassan@gmail.com,Hassan,122345558787.0,IN_PROGRESS,23.33,,0,3.0,37,1.0,307,2102.0,
1353,452002.0,,2024-10-18 09:16:30.322,FACTURA,0.0,70.38,69.0,ashirzuhaib3@gmail.com,NIMBU LAND HOLDING LIMITADA,3102823232.0,IN_PROGRESS,1.38,,0,1.0,37,4.0,58,,
1403,,,2024-10-28 18:39:22.559,FACTURA,2.0,0.0,0.0,tayyaba.dev03@gmail.com,TAYYABA RANI,,IN_PROGRESS,0.0,2024-10-30 06:56:38.272,1,,37,,207,1353.0,
1452,,,2024-10-30 06:20:45.005,FACTURA,6.0,10302.34,10405.8,tayyaba.dev03@gmail.com,Tayyaba Test Comp,,IN_PROGRESS,-103.46,2024-10-30 06:38:53.278,5,,37,,207,1353.0,
1453,,,2024-10-30 11:40:07.062,FACTURA,0.0,102.0,100.0,aashir2027270@gmail.com,Ashir Client,,IN_PROGRESS,2.0,2024-12-13 15:06:45.090,1,,37,,58,104.0,
1502,,,2024-11-06 16:19:49.995,FACTURA,0.0,0.0,0.0,tayyaba.dev03@gmail.com,TAYYABA RANI,,IN_PROGRESS,0.0,,0,,37,,207,1353.0,
1503,,,2024-11-06 16:19:57.988,FACTURA,0.0,0.0,0.0,tayyaba.dev03@gmail.com,TAYYABA RANI,,IN_PROGRESS,0.0,,0,,37,,207,1353.0,
1504,,,2024-11-06 16:20:02.994,FACTURA,0.0,0.0,0.0,tayyaba.dev03@gmail.com,TAYYABA RANI,,IN_PROGRESS,0.0,,0,,37,,207,1353.0,
1505,,,2024-11-06 17:27:10.853,FACTURA,0.0,0.0,0.0,tayyaba.dev03@gmail.com,Tayyaba Test Comp,,IN_PROGRESS,0.0,,0,,37,,207,1353.0,
1506,,,2024-11-06 19:25:55.047,FACTURA,0.0,0.0,0.0,tayyaba.dev03@gmail.com,TAYYABA RANI,,IN_PROGRESS,0.0,,0,,37,,207,1353.0,
1507,,,2024-11-06 19:26:19.596,FACTURA,0.0,0.0,0.0,tayyaba.dev03@gmail.com,TAYYABA RANI,,IN_PROGRESS,0.0,,0,,37,,207,1353.0,
1552,,,2024-11-13 05:19:20.145,FACTURA,1.0,390.92,387.07,godadsamuelat2008@gmail.com,testt,,IN_PROGRESS,3.85,2024-12-23 02:34:52.594,174,,149,,303,303.0,
1553,452002.0,,2024-11-13 08:23:50.520,FACTURA,0.0,3001.33,2942.91,godadsamuelat2008@gmail.com,NIMBU LAND HOLDING LIMITADA,3102823232.0,IN_PROGRESS,58.42,2024-12-09 10:50:03.712,2,2.0,149,2.0,303,303.0,
1554,452002.0,,2024-11-13 09:15:12.670,FACTURA,0.0,2962.1,2904.01,godadsamuel@gmail.com,Samuel,6.0,IN_PROGRESS,58.09,2024-12-06 09:10:07.526,3,2.0,149,4.0,303,258.0,
1555,,,2024-11-13 10:35:17.223,FACTURA,0.0,0.0,0.0,ash@gmail.com,testt,,IN_PROGRESS,0.0,,0,,149,,56,,
1556,,,2024-11-13 10:35:57.519,FACTURA,1.0,0.0,0.0,ash@gmail.com,testt,,IN_PROGRESS,0.0,2024-11-19 14:20:09.663,1,,149,,56,,
1557,,,2024-11-13 10:39:15.020,FACTURA,0.0,0.0,0.0,ash@gmail.com,testt,,IN_PROGRESS,0.0,,0,,149,,56,,
1558,,,2024-11-13 10:40:02.300,FACTURA,0.0,0.0,0.0,ash@gmail.com,testt,,IN_PROGRESS,0.0,,0,,149,,56,,
1559,452002.0,,2024-11-13 10:42:26.913,FACTURA,0.0,0.0,0.0,ash@gmail.com,testt,,IN_PROGRESS,0.0,2024-11-13 18:10:23.195,1,,149,,56,,
1560,452002.0,,2024-11-13 10:43:31.167,FACTURA,0.0,0.0,0.0,ash@gmail.com,testt,,IN_PROGRESS,0.0,2024-11-13 18:12:41.087,1,,149,,56,,
1561,,,2024-11-13 10:45:47.849,FACTURA,0.0,0.0,0.0,ash@gmail.com,testt,,IN_PROGRESS,0.0,,0,,149,,56,,
1562,452002.0,nn,2024-11-13 10:50:15.250,FACTURA,0.0,1019996.94,999997.0,test@gmai.co,test,,IN_PROGRESS,19999.94,2024-12-17 10:03:40.132,7,1.0,37,5.0,56,3353.0,n
1563,,,2024-11-13 10:55:32.256,FACTURA,0.0,0.0,0.0,ashirzuhaib2@gmail.com,NIMBU LAND HOLDING LIMITADA,,IN_PROGRESS,0.0,,0,,37,,58,56.0,
1564,,,2024-11-13 10:57:54.128,FACTURA,0.0,0.0,0.0,ashirzuhaib2@gmail.com,NIMBU LAND HOLDING LIMITADA,,IN_PROGRESS,0.0,,0,,37,,58,56.0,
1565,,,2024-11-13 11:11:12.714,FACTURA,0.0,0.0,0.0,ashirzuhaib2@gmail.com,NIMBU LAND HOLDING LIMITADA,,IN_PROGRESS,0.0,,0,,37,,58,56.0,
1566,452002.0,asd,2024-11-13 11:12:55.761,FACTURA,3.0,0.0,0.0,ash@gmail.com,testt,,IN_PROGRESS,0.0,2024-12-17 10:02:32.072,2,6.0,149,5.0,56,,asd
1567,,,2024-11-13 12:29:11.212,FACTURA,0.0,0.0,0.0,test@gmai.co,test,,IN_PROGRESS,0.0,,0,,37,,56,3353.0,
1568,,,2024-11-13 12:30:51.908,FACTURA,0.0,1019996.94,999997.0,test@gmai.co,test,,IN_PROGRESS,19999.94,2024-11-29 07:49:28.611,1,,37,,56,3353.0,
1569,,,2024-11-13 12:31:00.591,FACTURA,0.0,0.0,0.0,test@gmai.co,test,,IN_PROGRESS,0.0,,0,,37,,56,3353.0,
1604,,,2024-11-13 14:02:59.682,FACTURA,0.0,42.3,41.9,godadsamuelat2008@gmail.com,testt,,IN_PROGRESS,0.4,2024-12-14 15:17:27.615,3,,149,,303,303.0,
1605,,,2024-11-13 14:09:11.355,FACTURA,0.0,0.0,0.0,ash@gmail.com,testt,,IN_PROGRESS,0.0,,0,,149,,56,,
1606,452002.0,,2024-11-13 14:44:16.705,FACTURA,0.0,299.97,297.0,godadsamuelat2008@gmail.com,NIMBU LAND HOLDING LIMITADA,3102823232.0,IN_PROGRESS,2.97,2024-12-18 06:01:15.328,3,2.0,149,2.0,303,303.0,
1652,,,2024-11-15 09:47:14.707,FACTURA,0.0,102.0,100.0,ashirzuhaib2@gmail.com,NIMBU LAND HOLDING LIMITADA,,IN_PROGRESS,2.0,,0,,37,,58,56.0,
1653,,,2024-11-15 09:47:25.549,FACTURA,0.0,102.0,100.0,ashirzuhaib2@gmail.com,NIMBU LAND HOLDING LIMITADA,,IN_PROGRESS,2.0,,0,,37,,58,56.0,
1702,,,2024-11-18 11:28:57.524,FACTURA,0.0,102.0,100.0,ashirzuhaib2@gmail.com,NIMBU LAND HOLDING LIMITADA,,IN_PROGRESS,2.0,,0,,37,,58,56.0,
1752,960113.0,test,2024-11-18 16:13:44.814,FACTURA,0.0,1050.0,1050.0,test@gmai.co,test,,IN_PROGRESS,0.0,2024-11-18 17:50:38.805,1,,37,,56,3353.0,test
1802,,,2024-11-18 17:13:16.614,FACTURA,0.0,102.0,100.0,ashirzuhaib2@gmail.com,NIMBU LAND HOLDING LIMITADA,,IN_PROGRESS,2.0,,0,,37,,58,56.0,
1803,,,2024-11-18 19:12:14.929,FACTURA,0.0,1019996.94,999997.0,test@gmai.co,test,,IN_PROGRESS,19999.94,,0,,37,,56,3353.0,
1804,,,2024-11-18 19:12:31.054,FACTURA,0.0,1019996.94,999997.0,test@gmai.co,test,,IN_PROGRESS,19999.94,,0,,37,,56,3353.0,
1805,,,2024-11-18 19:12:32.039,FACTURA,0.0,1050.0,1050.0,test@gmai.co,test,,IN_PROGRESS,0.0,,0,,37,,56,3353.0,
1806,,,2024-11-18 19:12:33.041,FACTURA,0.0,102.0,100.0,ashirzuhaib2@gmail.com,NIMBU LAND HOLDING LIMITADA,,IN_PROGRESS,2.0,,0,,37,,58,56.0,
1807,,,2024-11-19 11:58:18.270,FACTURA,0.0,102.0,100.0,ashirzuhaib2@gmail.com,NIMBU LAND HOLDING LIMITADA,,IN_PROGRESS,2.0,,0,,37,,58,56.0,
1852,,,2024-11-20 00:52:42.036,FACTURA,0.0,5306.96,5202.9,tayyaba.dev03@gmail.com,TAYYABA RANI,,IN_PROGRESS,104.06,,0,,37,,207,1353.0,
1902,523406.0,,2024-11-27 14:12:15.788,FACTURA,0.0,203.4,180.0,facturas@nimbuland.cr,NIMBU LAND HOLDING LIMITADA,3102823232.0,IN_PROGRESS,23.4,2024-12-05 03:59:09.243,7,6.0,37,2.0,307,2103.0,
1952,,,2024-11-29 07:15:57.579,FACTURA,0.0,0.0,0.0,ashirzuhaib270@gmail.com,Test FirstNameNN Test Last Name,,IN_PROGRESS,0.0,,0,,37,,58,2052.0,
1953,,,2024-11-29 07:36:13.052,FACTURA,0.0,11728.08,11498.12,,Test FirstNameTest Last Name,,IN_PROGRESS,229.96,,0,,37,,56,,
1954,,,2024-11-29 07:53:20.206,FACTURA,0.0,102.0,100.0,ashirzuhaib2@gmail.com,NIMBU LAND HOLDING LIMITADA,,IN_PROGRESS,2.0,,0,,37,,58,56.0,
1955,452002.0,,2024-11-29 10:35:03.375,FACTURA,0.0,1020.0,1000.0,demchenko12.dmitriy@gmail.com,Nimbuland,3102823232.0,IN_PROGRESS,20.0,,0,1.0,149,2.0,5,53.0,
1956,452002.0,,2024-12-02 05:10:58.841,FACTURA,0.0,101.0,100.0,as@f.com,33,33333.0,IN_PROGRESS,1.0,,0,1.0,149,1.0,58,,
2005,,,2024-12-02 07:31:55.762,FACTURA,0.0,1152.6,1020.0,rislamdev@gmail.com,Rayhanul Dev,,IN_PROGRESS,132.6,,0,,37,,103,356.0,
2052,523406.0,svckSG,2024-12-02 22:53:50.363,FACTURA,0.0,20.43,20.2,hassan@gmail.comH,Hassan,,IN_PROGRESS,0.23,2024-12-06 05:14:25.253,1,3.0,37,3.0,307,,zxhcvka
2053,722003.0,internal comm vv nnnn,2024-12-03 05:38:10.315,FACTURA,0.0,20.2,20.0,facturas@nimbuland.cr,null null,3102823232.0,IN_PROGRESS,0.2,2024-12-10 11:25:54.871,6,5.0,37,4.0,307,2103.0,paid with cash again 2
2054,,,2024-12-03 10:26:22.607,FACTURA,0.0,2040.0,2000.0,deemsenterprise@gmail.com,,,IN_PROGRESS,40.0,,0,,37,,58,58.0,
2055,,,2024-12-03 10:54:45.657,FACTURA,0.0,102.0,100.0,ashirzuhaib2@gmail.com,NIMBU LAND HOLDING LIMITADA,,IN_PROGRESS,2.0,,0,,37,,58,56.0,
2056,,,2024-12-03 12:03:06.355,FACTURA,0.0,0.0,0.0,tom@pamipami.cr,Test FirstName Test Last NameNNN,,IN_PROGRESS,0.0,,0,,37,,56,307.0,
2058,452002.0,,2024-12-03 12:18:59.038,FACTURA,0.0,23706.27,20979.0,sefinehtesfa@gmail.com,Sefineh Tesfa,12.0,IN_PROGRESS,2727.27,2024-12-04 03:55:25.576,20,2.0,37,3.0,208,202.0,
2059,452002.0,,2024-12-04 07:00:46.177,FACTURA,0.0,101.0,100.0,yoni@gmail.com,NIMBU TRADICION CHOROTEGA SOCIEDAD ANONIMA,3101886417.0,IN_PROGRESS,1.0,,0,3.0,149,4.0,58,,
2060,,,2024-12-04 08:23:58.202,FACTURA,0.0,0.0,0.0,tom@pamipami.cr,Test FirstName Test Last NameNNN,,IN_PROGRESS,0.0,,0,,37,,56,307.0,
2102,,,2024-12-04 09:04:42.117,FACTURA,0.0,0.0,0.0,tom@pamipami.cr,Test FirstName Test Last NameNNN,,IN_PROGRESS,0.0,,0,,37,,56,307.0,
2103,,,2024-12-04 09:18:03.935,FACTURA,0.0,0.0,0.0,tom@pamipami.cr,Test FirstName Test Last NameNNN,,IN_PROGRESS,0.0,,0,,37,,56,307.0,
2104,,,2024-12-04 09:38:02.604,FACTURA,0.0,0.0,0.0,tom@pamipami.cr,Test FirstName Test Last NameNNN,,IN_PROGRESS,0.0,,0,,37,,56,307.0,
2105,,,2024-12-04 09:40:33.517,FACTURA,0.0,0.0,0.0,tom@pamipami.cr,Test FirstName Test Last NameNNN,,IN_PROGRESS,0.0,,0,,37,,56,307.0,
2106,,,2024-12-04 09:54:31.928,FACTURA,0.0,0.0,0.0,tom@pamipami.cr,Test FirstName Test Last NameNNN,,IN_PROGRESS,0.0,,0,,37,,56,307.0,
2107,,,2024-12-04 09:54:47.268,FACTURA,0.0,0.0,0.0,tom@pamipami.cr,Test FirstName Test Last NameNNN,,IN_PROGRESS,0.0,,0,,37,,56,307.0,
2152,452002.0,,2024-12-05 07:53:00.354,FACTURA,0.0,138.99,123.0,sefinehtesfa@gmail.com,Sefineh Tesfa,12.0,IN_PROGRESS,15.99,,0,2.0,37,1.0,208,202.0,
2153,452002.0,,2024-12-05 07:58:19.280,FACTURA,0.0,1118.7,990.0,sefinehtesfa@gmail.com,Sefineh Tesfa,12.0,IN_PROGRESS,128.7,,0,1.0,37,1.0,208,202.0,
2154,,,2024-12-05 09:46:16.299,FACTURA,0.0,0.0,0.0,tom@pamipami.cr,Test FirstName Test Last NameNNN,,IN_PROGRESS,0.0,,0,,37,,56,307.0,
2202,452002.0,Successfully paid,2024-12-10 03:10:36.923,FACTURA,0.0,3.03,3.0,godadsamuelat2008@gmail.com,NIMBU LAND HOLDING LIMITADA,3102823232.0,IN_PROGRESS,0.03,,0,1.0,37,1.0,303,303.0,The first payment
2203,452002.0,,2024-12-10 05:04:38.132,FACTURA,0.0,41.31,40.9,godadsamuel@gmail.com,Samuel Godad,3102823232.0,IN_PROGRESS,0.41,,0,5.0,37,3.0,303,258.0,
2252,,,2024-12-13 07:07:52.662,FACTURA,0.0,41.31,40.9,godadsamuelat2008@gmail.com,,,IN_PROGRESS,0.41,,0,,37,,303,303.0,
2254,,,2024-12-14 15:10:45.171,FACTURA,0.0,64.54,63.9,godadsamuelat2008@gmail.com,,,IN_PROGRESS,0.64,2024-12-23 20:31:56.774,11,,37,,303,303.0,
2302,452002.0,,2024-12-16 03:15:31.116,FACTURA,0.0,1011.01,1001.0,as@f.com,33,33333.0,IN_PROGRESS,10.01,,0,3.0,149,5.0,58,,
2303,452002.0,,2024-12-16 03:56:31.567,FACTURA,0.0,2040.0,2000.0,as@f.com,33,33333.0,IN_PROGRESS,40.0,,0,5.0,37,2.0,58,,
2304,452002.0,,2024-12-16 04:00:15.781,FACTURA,0.0,800.7,785.0,as@f.com,33,33333.0,IN_PROGRESS,15.7,,0,8.0,37,3.0,58,,
2352,452002.0,,2024-12-16 04:54:14.062,FACTURA,0.0,2040.0,2000.0,as@f.com,33,33333.0,IN_PROGRESS,40.0,,0,1.0,37,1.0,58,,
2353,452002.0,,2024-12-16 04:54:52.927,FACTURA,0.0,33.66,33.0,new@gmail.com,NIMBU LAND HOLDING LIMITADA,3102823232.0,IN_PROGRESS,0.66,,0,1.0,37,2.0,58,,
2354,452002.0,,2024-12-16 04:58:35.155,FACTURA,0.0,1011.01,1001.0,ashirzuhaib2@gmail.com,Ashir Zuhaib,3102823232.0,IN_PROGRESS,10.01,,0,3.0,149,2.0,58,56.0,
2355,452002.0,,2024-12-16 05:00:48.528,FACTURA,0.0,800.7,785.0,yoni@gmail.com,NIMBU TRADICION CHOROTEGA SOCIEDAD ANONIMA,3101886417.0,IN_PROGRESS,15.7,,0,5.0,37,5.0,58,,
2356,452002.0,,2024-12-16 05:01:26.725,FACTURA,0.0,33.66,33.0,as@f.com,33,33333.0,IN_PROGRESS,0.66,,0,11.0,37,4.0,58,,
2357,452002.0,,2024-12-16 06:38:17.169,FACTURA,0.0,33.66,33.0,aashir2027270@gmail.com,Ashir Ali,3333333333.0,IN_PROGRESS,0.66,,0,1.0,37,1.0,58,104.0,
2358,452002.0,,2024-12-16 06:38:43.041,FACTURA,0.0,1011.01,1001.0,as@f.com,33,33333.0,IN_PROGRESS,10.01,,0,1.0,149,2.0,58,,
2359,452002.0,,2024-12-16 06:39:20.107,FACTURA,0.0,33.66,33.0,yoni@gmail.com,NIMBU TRADICION CHOROTEGA SOCIEDAD ANONIMA,3101886417.0,IN_PROGRESS,0.66,,0,1.0,37,3.0,58,,
2360,452002.0,,2024-12-16 06:40:33.539,FACTURA,0.0,2040.0,2000.0,ebrahimhayat241@gmail.com,NIMBULAND,3102823232.0,IN_PROGRESS,40.0,,0,4.0,37,4.0,58,255.0,
2361,452002.0,,2024-12-16 06:41:27.534,FACTURA,0.0,2040.0,2000.0,as@f.com,33,33333.0,IN_PROGRESS,40.0,,0,1.0,37,5.0,58,,
2362,452002.0,,2024-12-16 06:42:56.135,FACTURA,0.0,800.7,785.0,cristian@gmail.com,HELEN CHRI SCHUBLER,127600142828.0,IN_PROGRESS,15.7,,0,1.0,37,5.0,58,,
2363,452002.0,,2024-12-16 06:48:20.316,FACTURA,0.0,800.7,785.0,as@f.com,33,33333.0,IN_PROGRESS,15.7,,0,2.0,37,2.0,58,,
2364,452002.0,,2024-12-16 07:54:32.960,FACTURA,0.0,33.66,33.0,aashir2027270@gmail.com,Ashir Ali,3333333333.0,IN_PROGRESS,0.66,,0,2.0,37,2.0,58,104.0,
2402,452002.0,test,2024-12-18 07:40:03.154,FACTURA,0.0,800.7,785.0,as@f.com,33,33333.0,IN_PROGRESS,15.7,,0,7.0,37,2.0,58,,test
2452,452002.0,est,2024-12-19 00:08:11.752,FACTURA,0.0,2040.0,2000.0,nimbulandholdinglimitada@gmail.com,NIMBU LAND HOLDING LIMITADA,3102823232.0,IN_PROGRESS,40.0,,0,3.0,37,1.0,56,,es
2453,,,2024-12-19 00:11:28.190,FACTURA,0.0,41.31,40.9,godadsamuelat2008@gmail.com,,,IN_PROGRESS,0.41,,0,,37,,303,303.0,
2454,452002.0,test,2024-12-19 08:16:02.064,FACTURA,0.0,4080.0,4000.0,pinkmoonlimitada@gmail.com,PINK MOON LIMITADA,3102823233.0,IN_PROGRESS,80.0,,0,3.0,37,5.0,56,,test
